Wavelength (nm), Intensity
1.949648666999999875e+02,1.122000000000000000e+03
1.952363039110856562e+02,9.890000000000000000e+02
1.955077314743252543e+02,1.047000000000000000e+03
1.957791493896926340e+02,9.980000000000000000e+02
1.960505576571617894e+02,1.007000000000000000e+03
1.963219562767066577e+02,1.113000000000000000e+03
1.965933452483011195e+02,1.138000000000000000e+03
1.968647245719190835e+02,1.140000000000000000e+03
1.971360942475345155e+02,1.150000000000000000e+03
1.974074542751212960e+02,1.126000000000000000e+03
1.976788046546533621e+02,1.125000000000000000e+03
1.979501453861045945e+02,1.151000000000000000e+03
1.982214764694489872e+02,1.144000000000000000e+03
1.984927979046604207e+02,1.115000000000000000e+03
1.987641096917128039e+02,1.151000000000000000e+03
1.990354118305800171e+02,1.142000000000000000e+03
1.993067043212361114e+02,1.187000000000000000e+03
1.995779871636549103e+02,1.158000000000000000e+03
1.998492603578103228e+02,1.158000000000000000e+03
2.001205239036763146e+02,1.149000000000000000e+03
2.003917778012267945e+02,1.173000000000000000e+03
2.006630220504356714e+02,1.173000000000000000e+03
2.009342566512768542e+02,1.185000000000000000e+03
2.012054816037242801e+02,1.183000000000000000e+03
2.014766969077518866e+02,1.180000000000000000e+03
2.017479025633335823e+02,1.165000000000000000e+03
2.020190985704432762e+02,1.156000000000000000e+03
2.022902849290548488e+02,1.154000000000000000e+03
2.025614616391423226e+02,1.181000000000000000e+03
2.028326287006795496e+02,1.150000000000000000e+03
2.031037861136404388e+02,1.158000000000000000e+03
2.033749338779989557e+02,1.176000000000000000e+03
2.036460719937289525e+02,1.164000000000000000e+03
2.039172004608044233e+02,1.189000000000000000e+03
2.041883192791992485e+02,1.176000000000000000e+03
2.044594284488873654e+02,1.178000000000000000e+03
2.047305279698426830e+02,1.168000000000000000e+03
2.050016178420391100e+02,1.146000000000000000e+03
2.052726980654506121e+02,1.184000000000000000e+03
2.055437686400510700e+02,1.176000000000000000e+03
2.058148295658143638e+02,1.189000000000000000e+03
2.060858808427145163e+02,1.169000000000000000e+03
2.063569224707254079e+02,1.183000000000000000e+03
2.066279544498208907e+02,1.185000000000000000e+03
2.068989767799749302e+02,1.191000000000000000e+03
2.071699894611614923e+02,1.151000000000000000e+03
2.074409924933544573e+02,1.174000000000000000e+03
2.077119858765277627e+02,1.170000000000000000e+03
2.079829696106552888e+02,1.176000000000000000e+03
2.082539436957109444e+02,1.155000000000000000e+03
2.085249081316687239e+02,1.181000000000000000e+03
2.087958629185025359e+02,1.175000000000000000e+03
2.090668080561862041e+02,1.171000000000000000e+03
2.093377435446937511e+02,1.179000000000000000e+03
2.096086693839990858e+02,1.202000000000000000e+03
2.098795855740761169e+02,1.179000000000000000e+03
2.101504921148987250e+02,1.181000000000000000e+03
2.104213890064408190e+02,1.175000000000000000e+03
2.106922762486764213e+02,1.176000000000000000e+03
2.109631538415793557e+02,1.154000000000000000e+03
2.112340217851235877e+02,1.189000000000000000e+03
2.115048800792829979e+02,1.151000000000000000e+03
2.117757287240315804e+02,1.174000000000000000e+03
2.120465677193431873e+02,1.177000000000000000e+03
2.123173970651917841e+02,1.216000000000000000e+03
2.125882167615512230e+02,1.172000000000000000e+03
2.128590268083954982e+02,1.192000000000000000e+03
2.131298272056984899e+02,1.166000000000000000e+03
2.134006179534341356e+02,1.181000000000000000e+03
2.136713990515763442e+02,1.158000000000000000e+03
2.139421705000990244e+02,1.197000000000000000e+03
2.142129322989761420e+02,1.177000000000000000e+03
2.144836844481815774e+02,1.187000000000000000e+03
2.147544269476892396e+02,1.161000000000000000e+03
2.150251597974730942e+02,1.180000000000000000e+03
