time, power, status
3615.633, 8.48e-09, 0.00
3616.058, 1.08e-08, 0.00
3616.380, 1.36e-08, 0.00
3616.717, 1.01e-08, 0.00
3617.033, 1.37e-08, 0.00
3617.375, 1.15e-08, 0.00
3617.812, 1.05e-08, 0.00
3618.250, 1.02e-08, 0.00
3618.676, 9.94e-09, 0.00
3619.000, 1.38e-08, 0.00
3619.341, 9.89e-09, 0.00
3619.766, 1.00e-08, 0.00
3620.102, 1.37e-08, 0.00
3620.424, 1.00e-08, 0.00
3620.744, 9.98e-09, 0.00
3621.087, 9.91e-09, 0.00
3621.513, 9.82e-09, 0.00
3621.954, 1.14e-08, 0.00
3622.381, 1.02e-08, 0.00
3622.718, 1.38e-08, 0.00
3623.135, 1.37e-08, 0.00
3623.477, 1.02e-08, 0.00
3623.898, 1.03e-08, 0.00
3624.249, 1.38e-08, 0.00
3624.616, 1.39e-08, 0.00
3624.914, 1.03e-08, 0.00
3625.230, 9.84e-09, 0.00
3625.642, 1.00e-08, 0.00
3625.959, 1.10e-08, 0.00
3626.304, 9.61e-09, 0.00
3626.648, 9.98e-09, 0.00
3626.968, 1.38e-08, 0.00
3627.388, 1.05e-08, 0.00
3627.826, 1.08e-08, 0.00
3628.243, 1.07e-08, 0.00
3628.565, 1.39e-08, 0.00
3628.901, 1.13e-08, 0.00
3629.218, 9.77e-09, 0.00
3629.546, 1.76e-08, 0.00
3630.002, 1.19e-08, 0.00
3630.425, 1.17e-08, 0.00
3630.761, 9.40e-09, 0.00
3631.204, 8.48e-09, 0.00
3631.634, 8.71e-09, 0.00
3631.975, 0.00e+00, 1.00
3632.197, 1.15e-08, 0.00
3632.538, 1.04e-08, 0.00
3632.876, 1.19e-08, 0.00
3633.300, 2.13e-08, 0.00
3633.616, 1.45e-08, 0.00
3633.962, 1.46e-08, 0.00
3634.316, 1.16e-08, 0.00
3634.653, 1.16e-08, 0.00
3635.052, 9.79e-09, 0.00
3635.383, 1.39e-08, 0.00
3635.703, 9.82e-09, 0.00
3636.147, 1.11e-08, 0.00
3636.573, 9.92e-09, 0.00
3636.897, 1.36e-08, 0.00
3637.233, 1.00e-08, 0.00
3637.660, 9.97e-09, 0.00
3637.999, 1.39e-08, 0.00
3638.322, 1.01e-08, 0.00
3638.683, 9.96e-09, 0.00
3639.003, 1.41e-08, 0.00
3639.408, 9.42e-09, 0.00
3639.752, 1.27e-08, 0.00
3640.188, 1.17e-08, 0.00
3640.530, 1.15e-08, 0.00
3640.951, 9.96e-09, 0.00
3641.275, 1.06e-08, 0.00
3641.617, 1.06e-08, 0.00
3642.057, 9.89e-09, 0.00
3642.404, 1.01e-08, 0.00
3642.725, 9.82e-09, 0.00
3643.128, 9.98e-09, 0.00
3643.488, 1.38e-08, 0.00
3643.830, 1.55e-08, 0.00
3644.226, 1.07e-08, 0.00
3644.573, 1.00e-08, 0.00
3644.891, 1.38e-08, 0.00
3645.299, 9.26e-09, 0.00
3645.642, 1.17e-08, 0.00
3645.958, 1.00e-08, 0.00
3646.321, 1.03e-08, 0.00
3646.637, 1.38e-08, 0.00
3647.056, 9.74e-09, 0.00
3647.403, 1.01e-08, 0.00
3647.718, 1.39e-08, 0.00
3648.055, 1.06e-08, 0.00
3648.378, 1.38e-08, 0.00
3648.777, 1.04e-08, 0.00
3649.113, 1.38e-08, 0.00
3649.435, 9.80e-09, 0.00
3649.878, 1.66e-08, 0.00
3650.236, 1.37e-08, 0.00
3650.637, 8.58e-09, 0.00
3650.998, 1.90e-08, 0.00
3651.339, 1.29e-08, 0.00
3651.655, 1.36e-08, 0.00
3651.992, 1.17e-08, 0.00
3652.313, 1.46e-08, 0.00
3652.732, 8.58e-09, 0.00
3653.168, 1.61e-08, 0.00
3653.517, 1.45e-08, 0.00
3653.856, 8.61e-09, 0.00
3654.281, 8.50e-09, 0.00
3654.633, 8.60e-09, 0.00
3654.956, 1.37e-08, 0.00
3655.378, 9.87e-09, 0.00
3655.720, 1.13e-08, 0.00
3656.056, 1.39e-08, 0.00
3656.458, 9.75e-09, 0.00
3656.899, 1.11e-08, 0.00
3657.325, 1.11e-08, 0.00
3657.662, 1.38e-08, 0.00
3658.020, 1.38e-08, 0.00
3658.422, 1.00e-08, 0.00
3658.862, 9.80e-09, 0.00
3659.284, 1.02e-08, 0.00
3659.625, 1.38e-08, 0.00
3659.961, 1.38e-08, 0.00
3660.305, 1.10e-08, 0.00
3660.620, 1.00e-08, 0.00
3660.958, 1.38e-08, 0.00
3661.273, 9.84e-09, 0.00
3661.683, 9.77e-09, 0.00
3662.007, 1.13e-08, 0.00
3662.352, 9.94e-09, 0.00
