time, power, status
11.192, 3.95e-09, 0.00
11.636, 4.03e-09, 0.00
12.069, 3.99e-09, 0.00
12.493, 4.83e-09, 0.00
12.917, 4.57e-09, 0.00
13.366, 4.60e-09, 0.00
13.711, 4.05e-09, 0.00
14.039, 5.70e-09, 0.00
14.442, 4.47e-09, 0.00
14.866, 1.00e-08, 0.00
15.207, 6.28e-09, 0.00
15.531, 4.52e-09, 0.00
15.853, 4.10e-09, 0.00
16.182, 5.84e-09, 0.00
16.625, 4.24e-09, 0.00
17.055, 4.63e-09, 0.00
17.498, 4.24e-09, 0.00
17.843, 4.03e-09, 0.00
18.171, 5.87e-09, 0.00
18.574, 4.23e-09, 0.00
19.003, 4.00e-09, 0.00
19.327, 5.71e-09, 0.00
19.669, 4.00e-09, 0.00
20.092, 4.30e-09, 0.00
20.422, 5.65e-09, 0.00
20.746, 5.63e-09, 0.00
21.179, 4.11e-09, 0.00
21.504, 5.67e-09, 0.00
21.832, 4.37e-09, 0.00
22.281, 4.24e-09, 0.00
22.625, 3.99e-09, 0.00
22.949, 5.72e-09, 0.00
23.357, 4.50e-09, 0.00
23.681, 5.75e-09, 0.00
24.010, 4.08e-09, 0.00
24.454, 3.95e-09, 0.00
24.799, 4.03e-09, 0.00
25.128, 5.72e-09, 0.00
25.531, 4.05e-09, 0.00
25.854, 4.04e-09, 0.00
26.183, 5.72e-09, 0.00
26.627, 3.97e-09, 0.00
26.977, 4.00e-09, 0.00
27.300, 5.75e-09, 0.00
27.703, 3.95e-09, 0.00
28.134, 4.07e-09, 0.00
28.577, 4.00e-09, 0.00
29.007, 4.25e-09, 0.00
29.352, 4.05e-09, 0.00
29.676, 5.75e-09, 0.00
30.077, 4.16e-09, 0.00
30.528, 4.05e-09, 0.00
30.955, 4.07e-09, 0.00
31.305, 4.50e-09, 0.00
31.633, 4.50e-09, 0.00
32.040, 4.39e-09, 0.00
32.385, 4.09e-09, 0.00
32.708, 5.73e-09, 0.00
33.116, 3.92e-09, 0.00
33.540, 3.97e-09, 0.00
33.863, 5.93e-09, 0.00
34.192, 4.20e-09, 0.00
34.635, 4.46e-09, 0.00
34.985, 4.10e-09, 0.00
35.308, 5.81e-09, 0.00
35.711, 3.58e-09, 0.00
36.141, 6.43e-09, 0.00
36.482, 5.31e-09, 0.00
36.926, 3.37e-09, 0.00
37.276, 6.99e-09, 0.00
37.698, 5.57e-09, 0.00
38.127, 6.47e-09, 0.00
38.492, 5.21e-09, 0.00
38.894, 3.42e-09, 0.00
39.263, 8.46e-09, 0.00
39.666, 5.55e-09, 0.00
40.029, 4.92e-09, 0.00
40.438, 5.62e-09, 0.00
40.763, 5.08e-09, 0.00
41.092, 5.07e-09, 0.00
41.539, 4.11e-09, 0.00
41.866, 4.11e-09, 0.00
42.296, 5.70e-09, 0.00
42.639, 4.15e-09, 0.00
42.989, 4.13e-09, 0.00
43.312, 3.99e-09, 0.00
43.716, 3.94e-09, 0.00
44.044, 5.72e-09, 0.00
44.368, 4.13e-09, 0.00
44.812, 4.14e-09, 0.00
45.163, 4.00e-09, 0.00
45.486, 5.67e-09, 0.00
45.889, 4.09e-09, 0.00
46.320, 4.15e-09, 0.00
46.644, 5.88e-09, 0.00
46.972, 4.15e-09, 0.00
47.416, 3.98e-09, 0.00
47.761, 4.08e-09, 0.00
48.090, 5.75e-09, 0.00
48.493, 4.09e-09, 0.00
48.918, 4.31e-09, 0.00
49.367, 4.65e-09, 0.00
49.713, 4.13e-09, 0.00
