time, power, status
25.097, 3.13e-09, 0.00
25.442, 3.16e-09, 0.00
25.765, 4.55e-09, 0.00
26.175, 3.37e-09, 0.00
26.497, 5.03e-09, 0.00
26.840, 3.19e-09, 0.00
27.270, 3.21e-09, 0.00
27.594, 4.52e-09, 0.00
27.936, 3.53e-09, 0.00
28.366, 3.21e-09, 0.00
28.791, 3.57e-09, 0.00
29.120, 4.50e-09, 0.00
29.443, 3.29e-09, 0.00
29.887, 3.26e-09, 0.00
30.317, 3.29e-09, 0.00
30.742, 4.16e-09, 0.00
31.070, 4.34e-09, 0.00
31.415, 5.41e-09, 0.00
31.818, 3.18e-09, 0.00
32.147, 3.16e-09, 0.00
32.470, 3.31e-09, 0.00
32.914, 3.14e-09, 0.00
33.264, 6.26e-09, 0.00
33.680, 4.19e-09, 0.00
34.115, 5.71e-09, 0.00
34.560, 3.26e-09, 0.00
34.992, 3.29e-09, 0.00
35.337, 3.81e-09, 0.00
35.663, 4.63e-09, 0.00
36.071, 3.21e-09, 0.00
36.416, 3.15e-09, 0.00
36.739, 5.29e-09, 0.00
37.166, 3.15e-09, 0.00
37.511, 3.39e-09, 0.00
37.834, 4.52e-09, 0.00
38.242, 3.26e-09, 0.00
38.685, 3.11e-09, 0.00
39.115, 4.04e-09, 0.00
39.558, 3.15e-09, 0.00
39.903, 3.16e-09, 0.00
40.231, 5.13e-09, 0.00
40.634, 3.48e-09, 0.00
41.083, 3.22e-09, 0.00
41.506, 3.21e-09, 0.00
41.851, 5.52e-09, 0.00
42.180, 4.39e-09, 0.00
42.582, 3.11e-09, 0.00
42.946, 7.67e-09, 0.00
43.373, 4.16e-09, 0.00
43.718, 3.34e-09, 0.00
44.116, 4.77e-09, 0.00
44.449, 4.40e-09, 0.00
44.795, 3.60e-09, 0.00
45.127, 5.45e-09, 0.00
45.531, 3.60e-09, 0.00
45.857, 4.41e-09, 0.00
46.186, 3.15e-09, 0.00
46.629, 5.49e-09, 0.00
47.060, 3.97e-09, 0.00
47.402, 3.27e-09, 0.00
47.747, 3.42e-09, 0.00
48.155, 4.52e-09, 0.00
48.479, 4.20e-09, 0.00
48.922, 3.32e-09, 0.00
49.352, 3.51e-09, 0.00
49.777, 3.19e-09, 0.00
50.106, 4.53e-09, 0.00
50.448, 3.10e-09, 0.00
50.873, 3.18e-09, 0.00
51.223, 5.82e-09, 0.00
51.626, 5.98e-09, 0.00
51.974, 3.16e-09, 0.00
52.380, 3.50e-09, 0.00
52.823, 3.09e-09, 0.00
53.174, 3.10e-09, 0.00
53.497, 4.32e-09, 0.00
53.913, 3.21e-09, 0.00
54.330, 6.45e-09, 0.00
54.774, 3.86e-09, 0.00
55.206, 4.36e-09, 0.00
55.552, 5.23e-09, 0.00
55.982, 3.15e-09, 0.00
56.406, 3.37e-09, 0.00
56.830, 3.11e-09, 0.00
57.159, 3.10e-09, 0.00
57.481, 5.31e-09, 0.00
57.925, 3.99e-09, 0.00
58.274, 3.21e-09, 0.00
58.598, 3.16e-09, 0.00
59.006, 3.32e-09, 0.00
59.430, 5.31e-09, 0.00
59.753, 4.40e-09, 0.00
60.081, 3.05e-09, 0.00
60.524, 4.05e-09, 0.00
60.973, 4.35e-09, 0.00
61.317, 4.35e-09, 0.00
61.720, 5.44e-09, 0.00
62.150, 5.60e-09, 0.00
62.594, 3.11e-09, 0.00
63.023, 3.18e-09, 0.00
63.466, 3.21e-09, 0.00
63.910, 3.06e-09, 0.00
64.260, 3.58e-09, 0.00
64.656, 4.41e-09, 0.00
64.992, 4.51e-09, 0.00
65.437, 3.19e-09, 0.00
65.864, 3.31e-09, 0.00
66.194, 3.15e-09, 0.00
66.520, 4.49e-09, 0.00
66.885, 5.70e-09, 0.00
67.293, 4.30e-09, 0.00
67.617, 4.57e-09, 0.00
67.959, 3.26e-09, 0.00
68.389, 3.37e-09, 0.00
68.832, 3.26e-09, 0.00
69.243, 3.21e-09, 0.00
69.667, 3.67e-09, 0.00
69.996, 4.40e-09, 0.00
70.319, 5.62e-09, 0.00
70.662, 4.26e-09, 0.00
70.991, 3.97e-09, 0.00
71.315, 3.22e-09, 0.00
71.679, 3.56e-09, 0.00
72.008, 4.50e-09, 0.00
72.410, 3.53e-09, 0.00
72.734, 4.84e-09, 0.00
73.062, 3.21e-09, 0.00
73.506, 3.11e-09, 0.00
73.931, 3.43e-09, 0.00
