time, power, status
3655.156, 5.36e-09, 0.00
3655.481, 5.33e-09, 0.00
3655.892, 5.84e-09, 0.00
3656.317, 5.59e-09, 0.00
3656.746, 5.23e-09, 0.00
3657.069, 5.92e-09, 0.00
3657.412, 5.44e-09, 0.00
3657.842, 5.29e-09, 0.00
3658.186, 5.36e-09, 0.00
3658.515, 5.65e-09, 0.00
3658.918, 6.08e-09, 0.00
3659.342, 6.99e-09, 0.00
3659.771, 4.36e-09, 0.00
3660.095, 4.35e-09, 0.00
3660.437, 5.88e-09, 0.00
3660.868, 5.24e-09, 0.00
3661.292, 5.92e-09, 0.00
3661.621, 5.68e-09, 0.00
3661.944, 5.28e-09, 0.00
3662.387, 5.47e-09, 0.00
3662.816, 5.38e-09, 0.00
3663.241, 4.81e-09, 0.00
3663.569, 6.22e-09, 0.00
3663.927, 5.35e-09, 0.00
3664.336, 4.49e-09, 0.00
3664.766, 5.34e-09, 0.00
3665.112, 4.32e-09, 0.00
3665.440, 4.35e-09, 0.00
3665.849, 5.31e-09, 0.00
3666.277, 5.34e-09, 0.00
3666.707, 6.03e-09, 0.00
3667.132, 5.30e-09, 0.00
3667.562, 5.86e-09, 0.00
3667.886, 5.77e-09, 0.00
3668.209, 5.34e-09, 0.00
3668.640, 4.73e-09, 0.00
3668.963, 4.94e-09, 0.00
3669.287, 5.78e-09, 0.00
3669.736, 5.33e-09, 0.00
3670.161, 5.40e-09, 0.00
3670.512, 6.72e-09, 0.00
3670.896, 4.89e-09, 0.00
3671.219, 5.26e-09, 0.00
3671.669, 7.13e-09, 0.00
3672.014, 6.35e-09, 0.00
3672.338, 5.68e-09, 0.00
3672.746, 5.39e-09, 0.00
3673.171, 6.31e-09, 0.00
3673.494, 6.54e-09, 0.00
3673.823, 6.07e-09, 0.00
3674.263, 5.59e-09, 0.00
3674.698, 5.52e-09, 0.00
3675.125, 7.15e-09, 0.00
3675.449, 6.17e-09, 0.00
3675.782, 5.15e-09, 0.00
3676.146, 9.02e-09, 0.00
3676.470, 7.56e-09, 0.00
3676.798, 5.62e-09, 0.00
3677.202, 5.33e-09, 0.00
3677.650, 5.42e-09, 0.00
3678.075, 5.25e-09, 0.00
3678.419, 6.67e-09, 0.00
3678.748, 5.33e-09, 0.00
3679.150, 5.73e-09, 0.00
3679.600, 7.24e-09, 0.00
3680.004, 6.03e-09, 0.00
3680.328, 5.08e-09, 0.00
3680.678, 4.82e-09, 0.00
3681.081, 5.15e-09, 0.00
3681.426, 5.20e-09, 0.00
3681.834, 4.94e-09, 0.00
3682.176, 6.60e-09, 0.00
3682.524, 5.26e-09, 0.00
3682.948, 6.91e-09, 0.00
3683.392, 5.26e-09, 0.00
3683.821, 4.71e-09, 0.00
3684.258, 7.09e-09, 0.00
3684.694, 5.87e-09, 0.00
3685.119, 5.70e-09, 0.00
3685.552, 6.90e-09, 0.00
3685.997, 4.66e-09, 0.00
3686.425, 5.68e-09, 0.00
3686.856, 5.31e-09, 0.00
3687.281, 5.33e-09, 0.00
3687.711, 5.41e-09, 0.00
3688.155, 5.34e-09, 0.00
3688.505, 5.30e-09, 0.00
3688.888, 6.50e-09, 0.00
3689.231, 5.46e-09, 0.00
3689.641, 5.65e-09, 0.00
3690.065, 5.87e-09, 0.00
3690.514, 5.86e-09, 0.00
3690.859, 5.36e-09, 0.00
3691.181, 5.00e-09, 0.00
3691.590, 5.34e-09, 0.00
3692.033, 5.42e-09, 0.00
3692.378, 8.60e-09, 0.00
3692.706, 4.94e-09, 0.00
3693.109, 5.23e-09, 0.00
3693.454, 6.66e-09, 0.00
3693.783, 5.89e-09, 0.00
3694.185, 5.39e-09, 0.00
3694.615, 5.38e-09, 0.00
3694.970, 5.30e-09, 0.00
3695.363, 5.93e-09, 0.00
3695.692, 5.67e-09, 0.00
3696.119, 5.14e-09, 0.00
3696.549, 5.25e-09, 0.00
3696.896, 5.23e-09, 0.00
3697.219, 4.93e-09, 0.00
3697.627, 5.35e-09, 0.00
3698.070, 5.57e-09, 0.00
3698.415, 5.25e-09, 0.00
3698.743, 5.72e-09, 0.00
3699.145, 5.41e-09, 0.00
3699.575, 5.66e-09, 0.00
3699.898, 5.68e-09, 0.00
3700.240, 5.31e-09, 0.00
3700.669, 5.61e-09, 0.00
3701.093, 5.31e-09, 0.00
3701.416, 6.09e-09, 0.00
3701.764, 5.36e-09, 0.00
3702.187, 5.33e-09, 0.00
3702.617, 5.28e-09, 0.00
3703.060, 5.25e-09, 0.00
3703.484, 5.28e-09, 0.00
3703.913, 5.21e-09, 0.00
3704.236, 5.39e-09, 0.00
3704.564, 4.63e-09, 0.00
