Wavelength (nm,Intensity AC 1
194.9648667,1109.0
195.23630391108566,1037.0
195.50773147432525,1022.0
195.77914938969263,993.0
196.0505576571618,1032.0
196.32195627670666,1109.0
196.59334524830112,1148.0
196.86472457191908,1125.0
197.13609424753452,1146.0
197.4074542751213,1154.0
197.67880465465336,1141.0
197.9501453861046,1138.0
198.221476469449,1148.0
198.49279790466042,1110.0
198.7641096917128,1149.0
199.03541183058002,1137.0
199.3067043212361,1180.0
199.5779871636549,1164.0
199.84926035781032,1163.0
200.12052390367631,1140.0
200.3917778012268,1155.0
200.66302205043567,1164.0
200.93425665127685,1177.0
201.20548160372428,1163.0
201.4766969077519,1169.0
201.74790256333358,1160.0
202.01909857044328,1158.0
202.29028492905485,1140.0
202.56146163914232,1174.0
202.83262870067955,1156.0
203.10378611364044,1149.0
203.37493387799896,1180.0
203.64607199372895,1171.0
203.91720046080442,1160.0
204.18831927919925,1171.0
204.45942844888737,1185.0
204.73052796984268,1168.0
205.0016178420391,1142.0
205.2726980654506,1172.0
205.54376864005107,1162.0
205.81482956581436,1189.0
206.08588084271452,1158.0
206.3569224707254,1168.0
206.6279544498209,1182.0
206.89897677997493,1199.0
207.1699894611615,1157.0
207.44099249335446,1157.0
207.71198587652776,1180.0
207.9829696106553,1175.0
208.25394369571094,1141.0
208.52490813166872,1177.0
208.79586291850254,1167.0
209.0668080561862,1159.0
209.33774354469375,1153.0
209.60866938399909,1161.0
209.87958557407612,1171.0
210.15049211489873,1190.0
210.42138900644082,1156.0
210.69227624867642,1169.0
210.96315384157936,1158.0
211.2340217851236,1174.0
211.504880079283,1147.0
211.77572872403158,1184.0
212.0465677193432,1195.0
212.31739706519178,1190.0
212.58821676155122,1139.0
212.8590268083955,1190.0
213.1298272056985,1173.0
213.40061795343414,1185.0
213.67139905157634,1144.0
213.94217050009902,1185.0
214.21293229897614,1153.0
214.48368444818158,1175.0
214.75442694768924,1157.0
215.0251597974731,1169.0
215.29588299750702,1160.0
215.56659654776496,1162.0
215.83730044822082,1128.0
216.10799469884853,1173.0
216.378679299622,1179.0
216.64935425051522,1199.0
216.92001955150198,1154.0
217.19067520255626,1160.0
217.46132120365203,1158.0
217.73195755476314,1165.0
218.00258425586358,1137.0
218.27320130692718,1165.0
218.54380870792792,1174.0
218.81440645883973,1213.0
219.0849945596365,1157.0
219.35557301029212,1187.0
219.6261418107806,1150.0
219.8967009610758,1180.0
