time, power, status
11.449, 4.08e-09, 0.00
11.779, 4.05e-09, 0.00
12.124, 5.82e-09, 0.00
12.469, 4.76e-09, 0.00
12.798, 5.63e-09, 0.00
13.201, 5.03e-09, 0.00
13.523, 6.02e-09, 0.00
13.852, 5.56e-09, 0.00
14.216, 4.83e-09, 0.00
14.540, 6.15e-09, 0.00
14.948, 5.05e-09, 0.00
15.271, 6.17e-09, 0.00
15.613, 4.83e-09, 0.00
16.043, 5.30e-09, 0.00
16.467, 5.33e-09, 0.00
16.796, 6.15e-09, 0.00
17.139, 4.79e-09, 0.00
17.483, 5.07e-09, 0.00
17.811, 6.07e-09, 0.00
18.215, 9.28e-09, 0.00
18.557, 7.88e-09, 0.00
18.907, 7.06e-09, 0.00
19.309, 4.94e-09, 0.00
19.752, 4.76e-09, 0.00
20.182, 4.77e-09, 0.00
20.627, 4.99e-09, 0.00
21.060, 4.87e-09, 0.00
21.406, 5.10e-09, 0.00
21.817, 6.12e-09, 0.00
22.163, 5.77e-09, 0.00
22.585, 4.20e-09, 0.00
22.936, 7.76e-09, 0.00
23.339, 7.66e-09, 0.00
23.687, 7.71e-09, 0.00
24.111, 4.87e-09, 0.00
24.455, 4.04e-09, 0.00
24.884, 4.04e-09, 0.00
25.309, 4.10e-09, 0.00
25.633, 6.19e-09, 0.00
25.982, 4.23e-09, 0.00
26.326, 4.05e-09, 0.00
26.735, 6.12e-09, 0.00
27.059, 5.77e-09, 0.00
27.402, 4.16e-09, 0.00
27.832, 7.76e-09, 0.00
28.174, 4.76e-09, 0.00
28.517, 4.95e-09, 0.00
28.868, 6.04e-09, 0.00
29.290, 4.05e-09, 0.00
29.720, 5.02e-09, 0.00
30.075, 4.81e-09, 0.00
30.408, 6.14e-09, 0.00
30.817, 5.25e-09, 0.00
31.165, 4.92e-09, 0.00
31.489, 6.18e-09, 0.00
31.820, 4.86e-09, 0.00
32.144, 6.18e-09, 0.00
32.566, 4.11e-09, 0.00
32.916, 4.04e-09, 0.00
33.239, 6.26e-09, 0.00
33.667, 4.76e-09, 0.00
34.011, 5.54e-09, 0.00
34.414, 6.13e-09, 0.00
34.743, 6.10e-09, 0.00
35.186, 4.87e-09, 0.00
35.531, 4.95e-09, 0.00
35.860, 6.17e-09, 0.00
36.263, 4.92e-09, 0.00
36.586, 4.84e-09, 0.00
36.915, 4.82e-09, 0.00
37.359, 4.83e-09, 0.00
37.708, 4.82e-09, 0.00
38.032, 6.10e-09, 0.00
38.434, 5.59e-09, 0.00
38.864, 5.35e-09, 0.00
39.187, 6.07e-09, 0.00
39.545, 5.29e-09, 0.00
39.960, 4.98e-09, 0.00
40.386, 4.81e-09, 0.00
40.718, 6.12e-09, 0.00
41.043, 6.12e-09, 0.00
41.489, 4.56e-09, 0.00
41.920, 5.09e-09, 0.00
42.344, 4.76e-09, 0.00
42.674, 6.22e-09, 0.00
42.997, 5.52e-09, 0.00
43.441, 4.78e-09, 0.00
43.871, 5.57e-09, 0.00
44.296, 5.39e-09, 0.00
44.619, 5.98e-09, 0.00
44.949, 4.14e-09, 0.00
45.392, 8.97e-09, 0.00
45.722, 5.46e-09, 0.00
46.045, 6.24e-09, 0.00
46.388, 4.14e-09, 0.00
46.818, 3.95e-09, 0.00
47.262, 4.02e-09, 0.00
47.692, 4.03e-09, 0.00
48.035, 5.75e-09, 0.00
48.358, 4.10e-09, 0.00
48.725, 1.05e-08, 0.00
49.143, 6.45e-09, 0.00
49.489, 6.81e-09, 0.00
