time, power, status
3604.674, 1.45e-09, 0.00
3605.083, 1.19e-09, 0.00
3605.529, 1.14e-09, 0.00
3605.959, 1.10e-09, 0.00
3606.382, 1.38e-09, 0.00
3606.706, 1.48e-09, 0.00
3607.034, 1.15e-09, 0.00
3607.398, 2.36e-09, 0.00
3607.805, 1.40e-09, 0.00
3608.129, 1.51e-09, 0.00
3608.451, 1.41e-09, 0.00
3608.900, 1.53e-09, 0.00
3609.244, 1.43e-09, 0.00
3609.568, 1.54e-09, 0.00
3609.975, 1.67e-09, 0.00
3610.299, 1.57e-09, 0.00
3610.641, 1.72e-09, 0.00
3610.991, 1.51e-09, 0.00
3611.314, 1.52e-09, 0.00
3611.736, 1.58e-09, 0.00
3612.165, 1.24e-09, 0.00
3612.589, 1.24e-09, 0.00
3612.918, 1.54e-09, 0.00
3613.275, 1.43e-09, 0.00
3613.684, 1.35e-09, 0.00
3614.115, 1.17e-09, 0.00
3614.442, 1.54e-09, 0.00
3614.771, 2.27e-09, 0.00
3615.218, 1.36e-09, 0.00
3615.542, 1.36e-09, 0.00
3615.870, 1.70e-09, 0.00
3616.314, 1.31e-09, 0.00
3616.738, 1.20e-09, 0.00
3617.188, 1.43e-09, 0.00
3617.532, 1.36e-09, 0.00
3617.862, 1.51e-09, 0.00
3618.264, 1.30e-09, 0.00
3618.588, 1.56e-09, 0.00
3618.916, 1.36e-09, 0.00
3619.360, 1.27e-09, 0.00
3619.790, 1.32e-09, 0.00
3620.234, 1.32e-09, 0.00
3620.578, 1.25e-09, 0.00
3620.907, 1.53e-09, 0.00
3621.310, 1.26e-09, 0.00
3621.754, 1.22e-09, 0.00
3622.183, 1.24e-09, 0.00
3622.529, 1.26e-09, 0.00
3622.857, 1.51e-09, 0.00
3623.260, 1.45e-09, 0.00
3623.725, 1.21e-09, 0.00
3624.134, 1.27e-09, 0.00
3624.482, 1.52e-09, 0.00
3624.811, 1.52e-09, 0.00
3625.217, 1.36e-09, 0.00
3625.562, 1.25e-09, 0.00
3625.891, 1.54e-09, 0.00
3626.293, 1.30e-09, 0.00
3626.736, 1.24e-09, 0.00
3627.165, 1.51e-09, 0.00
3627.510, 1.37e-09, 0.00
3627.838, 1.52e-09, 0.00
3628.241, 1.30e-09, 0.00
3628.684, 1.31e-09, 0.00
3629.114, 1.16e-09, 0.00
3629.538, 1.27e-09, 0.00
3629.867, 1.56e-09, 0.00
3630.190, 1.51e-09, 0.00
3630.633, 1.20e-09, 0.00
3631.062, 1.25e-09, 0.00
3631.386, 1.48e-09, 0.00
3631.728, 1.14e-09, 0.00
3632.078, 2.19e-09, 0.00
3632.480, 1.17e-09, 0.00
3632.809, 1.16e-09, 0.00
3633.151, 1.20e-09, 0.00
3633.587, 1.26e-09, 0.00
3634.023, 1.35e-09, 0.00
3634.370, 1.36e-09, 0.00
3634.696, 1.49e-09, 0.00
3635.106, 1.43e-09, 0.00
3635.454, 1.45e-09, 0.00
3635.783, 1.64e-09, 0.00
3636.186, 1.56e-09, 0.00
3636.630, 1.25e-09, 0.00
3636.980, 1.49e-09, 0.00
3637.304, 1.41e-09, 0.00
3637.706, 1.41e-09, 0.00
3638.156, 1.31e-09, 0.00
3638.500, 1.17e-09, 0.00
3638.829, 1.54e-09, 0.00
3639.232, 1.25e-09, 0.00
3639.556, 1.51e-09, 0.00
3639.985, 1.51e-09, 0.00
3640.328, 1.20e-09, 0.00
3640.673, 1.43e-09, 0.00
3641.002, 1.53e-09, 0.00
3641.404, 1.45e-09, 0.00
3641.834, 1.25e-09, 0.00
3642.157, 1.56e-09, 0.00
3642.500, 1.30e-09, 0.00
3642.930, 1.28e-09, 0.00
3643.275, 1.28e-09, 0.00
