time, power, status
3605.689, 1.51e-09, 0.00
3606.133, 1.56e-09, 0.00
3606.480, 1.48e-09, 0.00
3606.809, 2.03e-09, 0.00
3607.211, 1.66e-09, 0.00
3607.641, 1.45e-09, 0.00
3607.964, 1.79e-09, 0.00
3608.306, 1.78e-09, 0.00
3608.735, 2.73e-09, 0.00
3609.078, 1.77e-09, 0.00
3609.521, 1.46e-09, 0.00
3609.951, 1.56e-09, 0.00
3610.394, 1.49e-09, 0.00
3610.823, 1.73e-09, 0.00
3611.247, 1.43e-09, 0.00
3611.571, 1.43e-09, 0.00
3611.918, 1.45e-09, 0.00
3612.263, 1.64e-09, 0.00
3612.585, 1.82e-09, 0.00
3612.994, 1.80e-09, 0.00
3613.316, 1.89e-09, 0.00
3613.645, 1.43e-09, 0.00
3614.088, 1.53e-09, 0.00
3614.503, 2.34e-09, 0.00
3614.852, 1.43e-09, 0.00
3615.282, 1.45e-09, 0.00
3615.713, 1.48e-09, 0.00
3616.160, 1.40e-09, 0.00
3616.593, 1.68e-09, 0.00
3617.018, 1.42e-09, 0.00
3617.341, 1.80e-09, 0.00
3617.670, 1.79e-09, 0.00
3618.114, 1.43e-09, 0.00
3618.459, 1.88e-09, 0.00
3618.787, 1.42e-09, 0.00
3619.191, 1.43e-09, 0.00
3619.639, 1.42e-09, 0.00
3619.985, 3.20e-09, 0.00
3620.407, 1.87e-09, 0.00
3620.757, 2.27e-09, 0.00
3621.160, 1.42e-09, 0.00
3621.610, 1.49e-09, 0.00
3622.034, 1.54e-09, 0.00
3622.459, 1.42e-09, 0.00
3622.889, 1.41e-09, 0.00
3623.314, 2.35e-09, 0.00
3623.643, 1.58e-09, 0.00
3624.008, 1.77e-09, 0.00
3624.410, 1.69e-09, 0.00
3624.740, 1.95e-09, 0.00
3625.094, 1.70e-09, 0.00
3625.488, 1.59e-09, 0.00
3625.817, 1.40e-09, 0.00
3626.244, 1.66e-09, 0.00
3626.568, 1.91e-09, 0.00
3626.900, 1.43e-09, 0.00
3627.343, 1.83e-09, 0.00
3627.672, 1.82e-09, 0.00
3627.995, 1.68e-09, 0.00
3628.438, 1.40e-09, 0.00
3628.789, 1.66e-09, 0.00
3629.112, 1.64e-09, 0.00
3629.515, 1.42e-09, 0.00
3629.862, 3.03e-09, 0.00
3630.207, 1.74e-09, 0.00
3630.530, 1.85e-09, 0.00
3630.939, 2.67e-09, 0.00
3631.262, 1.67e-09, 0.00
3631.691, 1.54e-09, 0.00
3632.014, 2.03e-09, 0.00
3632.357, 1.57e-09, 0.00
3632.786, 1.43e-09, 0.00
3633.110, 1.40e-09, 0.00
3633.452, 1.57e-09, 0.00
3633.802, 1.48e-09, 0.00
3634.123, 1.52e-09, 0.00
3634.541, 1.54e-09, 0.00
3634.977, 1.45e-09, 0.00
3635.422, 1.78e-09, 0.00
3635.856, 1.42e-09, 0.00
3636.284, 1.51e-09, 0.00
3636.613, 1.80e-09, 0.00
3636.937, 1.45e-09, 0.00
3637.381, 1.41e-09, 0.00
3637.812, 1.46e-09, 0.00
3638.256, 1.56e-09, 0.00
3638.607, 1.49e-09, 0.00
3638.930, 1.79e-09, 0.00
3639.334, 1.49e-09, 0.00
3639.763, 1.47e-09, 0.00
3640.208, 1.63e-09, 0.00
3640.638, 2.41e-09, 0.00
3640.983, 1.87e-09, 0.00
3641.386, 1.46e-09, 0.00
3641.715, 1.80e-09, 0.00
3642.038, 1.58e-09, 0.00
3642.463, 1.43e-09, 0.00
3642.814, 1.56e-09, 0.00
3643.135, 2.32e-09, 0.00
3643.560, 1.58e-09, 0.00
3643.990, 2.52e-09, 0.00
3644.434, 1.54e-09, 0.00
3644.785, 1.82e-09, 0.00
