time, power, status
11.337, 6.04e-08, 0.00
11.744, 5.59e-08, 0.00
12.169, 6.18e-08, 0.00
12.490, 6.05e-08, 0.00
12.815, 5.99e-08, 0.00
13.256, 6.12e-08, 0.00
13.683, 5.50e-08, 0.00
14.123, 5.55e-08, 0.00
14.465, 5.92e-08, 0.00
14.791, 6.59e-08, 0.00
15.191, 6.28e-08, 0.00
15.618, 5.57e-08, 0.00
15.938, 5.57e-08, 0.00
16.259, 6.50e-08, 0.00
16.705, 5.54e-08, 0.00
17.047, 6.10e-08, 0.00
17.367, 5.56e-08, 0.00
17.773, 5.57e-08, 0.00
18.214, 6.66e-08, 0.00
18.556, 5.56e-08, 0.00
18.881, 5.99e-08, 0.00
19.282, 5.49e-08, 0.00
19.628, 6.93e-08, 0.00
20.022, 5.96e-08, 0.00
20.349, 5.51e-08, 0.00
20.777, 5.67e-08, 0.00
21.202, 5.52e-08, 0.00
21.525, 5.91e-08, 0.00
21.854, 5.52e-08, 0.00
22.277, 5.54e-08, 0.00
22.603, 5.49e-08, 0.00
22.945, 5.45e-08, 0.00
23.345, 5.50e-08, 0.00
23.672, 5.49e-08, 0.00
23.992, 5.50e-08, 0.00
24.434, 6.99e-08, 0.00
24.860, 5.50e-08, 0.00
25.282, 5.54e-08, 0.00
25.609, 5.98e-08, 0.00
25.930, 5.57e-08, 0.00
26.352, 1.05e-07, 0.00
26.671, 5.70e-08, 0.00
26.992, 4.81e-08, 0.00
27.313, 4.91e-08, 0.00
27.639, 6.82e-08, 0.00
28.061, 7.88e-08, 0.00
28.482, 6.62e-08, 0.00
28.910, 5.35e-08, 0.00
29.231, 5.83e-08, 0.00
29.576, 5.45e-08, 0.00
29.989, 7.23e-08, 0.00
30.340, 6.71e-08, 0.00
30.727, 5.73e-08, 0.00
31.070, 5.41e-08, 0.00
31.492, 5.30e-08, 0.00
31.941, 5.46e-08, 0.00
32.284, 6.75e-08, 0.00
32.609, 6.45e-08, 0.00
33.009, 5.49e-08, 0.00
33.330, 6.61e-08, 0.00
33.675, 5.51e-08, 0.00
34.096, 5.49e-08, 0.00
34.537, 6.55e-08, 0.00
34.964, 5.55e-08, 0.00
35.386, 5.75e-08, 0.00
35.812, 5.61e-08, 0.00
36.134, 6.83e-08, 0.00
36.473, 6.76e-08, 0.00
36.900, 5.91e-08, 0.00
37.322, 5.60e-08, 0.00
37.648, 5.60e-08, 0.00
37.969, 5.73e-08, 0.00
38.410, 5.54e-08, 0.00
38.837, 7.07e-08, 0.00
39.179, 5.62e-08, 0.00
39.500, 5.86e-08, 0.00
39.918, 5.35e-08, 0.00
40.328, 5.52e-08, 0.00
40.756, 1.18e-07, 0.00
41.074, 5.77e-08, 0.00
41.396, 5.45e-08, 0.00
41.827, 5.49e-08, 0.00
42.149, 5.46e-08, 0.00
42.489, 5.47e-08, 0.00
42.916, 5.56e-08, 0.00
43.338, 4.98e-08, 0.00
43.766, 5.47e-08, 0.00
44.188, 5.50e-08, 0.00
44.510, 5.89e-08, 0.00
44.836, 5.47e-08, 0.00
45.259, 5.45e-08, 0.00
45.585, 5.91e-08, 0.00
45.906, 5.54e-08, 0.00
46.347, 4.98e-08, 0.00
46.776, 5.50e-08, 0.00
47.197, 5.51e-08, 0.00
47.519, 5.99e-08, 0.00
47.845, 5.55e-08, 0.00
48.287, 7.04e-08, 0.00
48.714, 5.65e-08, 0.00
49.137, 5.52e-08, 0.00
49.458, 6.49e-08, 0.00
49.784, 6.77e-08, 0.00
