time, power, status
11.234, 1.26e-07, 0.00
11.549, 1.39e-07, 0.00
11.886, 1.09e-07, 0.00
12.205, 1.41e-07, 0.00
12.559, 1.10e-07, 0.00
12.893, 1.28e-07, 0.00
13.212, 1.17e-07, 0.00
13.625, 1.13e-07, 0.00
14.059, 1.14e-07, 0.00
14.499, 1.10e-07, 0.00
14.914, 1.10e-07, 0.00
15.253, 1.41e-07, 0.00
15.566, 1.11e-07, 0.00
15.921, 1.31e-07, 0.00
16.238, 1.40e-07, 0.00
16.577, 9.94e-08, 0.00
16.894, 1.41e-07, 0.00
17.312, 1.16e-07, 0.00
17.746, 1.29e-07, 0.00
18.167, 1.19e-07, 0.00
18.500, 1.40e-07, 0.00
18.814, 1.11e-07, 0.00
19.174, 1.32e-07, 0.00
19.558, 1.40e-07, 0.00
19.900, 1.17e-07, 0.00
20.221, 1.41e-07, 0.00
20.555, 1.09e-07, 0.00
20.912, 1.13e-07, 0.00
21.232, 1.75e-07, 0.00
21.569, 1.94e-07, 0.00
21.902, 1.35e-07, 0.00
22.222, 1.40e-07, 0.00
22.555, 1.13e-07, 0.00
22.889, 1.82e-07, 0.00
23.291, 1.50e-07, 0.00
23.625, 1.34e-07, 0.00
23.958, 9.87e-08, 0.00
24.401, 0.00e+00, 1.00
24.623, 1.30e-07, 0.00
24.956, 1.39e-07, 0.00
25.396, 9.90e-08, 0.00
25.818, 1.31e-07, 0.00
26.157, 1.40e-07, 0.00
26.471, 1.12e-07, 0.00
26.826, 1.09e-07, 0.00
27.245, 1.40e-07, 0.00
27.600, 1.41e-07, 0.00
28.013, 1.09e-07, 0.00
28.353, 1.11e-07, 0.00
28.687, 1.41e-07, 0.00
29.098, 1.09e-07, 0.00
29.538, 1.09e-07, 0.00
29.973, 1.09e-07, 0.00
30.317, 1.11e-07, 0.00
30.714, 1.42e-07, 0.00
31.047, 1.11e-07, 0.00
31.486, 1.16e-07, 0.00
31.841, 1.26e-07, 0.00
32.160, 1.40e-07, 0.00
32.572, 1.32e-07, 0.00
33.007, 1.29e-07, 0.00
33.446, 1.10e-07, 0.00
33.782, 1.17e-07, 0.00
34.120, 1.41e-07, 0.00
34.513, 1.46e-07, 0.00
34.846, 1.52e-07, 0.00
35.185, 1.10e-07, 0.00
35.619, 1.10e-07, 0.00
36.053, 1.12e-07, 0.00
36.394, 1.41e-07, 0.00
36.727, 1.41e-07, 0.00
37.125, 1.12e-07, 0.00
37.459, 1.41e-07, 0.00
37.773, 1.41e-07, 0.00
38.212, 1.07e-07, 0.00
38.550, 0.00e+00, 1.00
38.844, 1.65e-07, 0.00
39.191, 1.40e-07, 0.00
39.526, 1.11e-07, 0.00
39.963, 1.10e-07, 0.00
40.306, 1.06e-07, 0.00
40.643, 1.74e-07, 0.00
41.040, 1.09e-07, 0.00
41.479, 1.19e-07, 0.00
41.914, 1.30e-07, 0.00
42.354, 1.12e-07, 0.00
42.789, 1.17e-07, 0.00
43.209, 1.32e-07, 0.00
43.543, 1.40e-07, 0.00
43.876, 1.09e-07, 0.00
44.217, 1.31e-07, 0.00
44.550, 1.41e-07, 0.00
44.963, 1.14e-07, 0.00
45.384, 1.09e-07, 0.00
45.718, 1.41e-07, 0.00
46.051, 1.27e-07, 0.00
46.472, 1.30e-07, 0.00
46.805, 1.41e-07, 0.00
47.144, 1.14e-07, 0.00
47.578, 1.14e-07, 0.00
48.013, 1.09e-07, 0.00
48.354, 1.27e-07, 0.00
48.687, 1.40e-07, 0.00
