time, power, status
11.206, 4.95e-09, 0.00
11.535, 8.69e-09, 0.00
11.941, 5.81e-09, 0.00
12.370, 5.89e-09, 0.00
12.814, 5.84e-09, 0.00
13.238, 6.36e-09, 0.00
13.686, 5.52e-09, 0.00
14.032, 6.07e-09, 0.00
14.360, 8.23e-09, 0.00
14.763, 5.49e-09, 0.00
15.086, 8.19e-09, 0.00
15.414, 6.55e-09, 0.00
15.857, 5.66e-09, 0.00
16.287, 5.61e-09, 0.00
16.731, 6.40e-09, 0.00
17.155, 5.46e-09, 0.00
17.484, 8.18e-09, 0.00
17.807, 8.22e-09, 0.00
18.170, 5.66e-09, 0.00
18.499, 8.20e-09, 0.00
18.901, 5.67e-09, 0.00
19.331, 5.57e-09, 0.00
19.654, 8.14e-09, 0.00
20.011, 5.61e-09, 0.00
20.426, 5.81e-09, 0.00
20.851, 5.54e-09, 0.00
21.178, 8.27e-09, 0.00
21.529, 8.22e-09, 0.00
21.935, 5.66e-09, 0.00
22.259, 8.13e-09, 0.00
22.587, 8.18e-09, 0.00
23.012, 5.82e-09, 0.00
23.341, 8.07e-09, 0.00
23.686, 8.18e-09, 0.00
24.108, 5.49e-09, 0.00
24.538, 5.56e-09, 0.00
24.883, 5.55e-09, 0.00
25.207, 8.16e-09, 0.00
25.615, 5.51e-09, 0.00
26.040, 5.93e-09, 0.00
26.369, 8.19e-09, 0.00
26.692, 6.40e-09, 0.00
27.015, 8.27e-09, 0.00
27.344, 8.18e-09, 0.00
27.787, 4.99e-09, 0.00
28.132, 9.17e-09, 0.00
28.461, 8.33e-09, 0.00
28.784, 8.33e-09, 0.00
29.206, 6.17e-09, 0.00
29.557, 6.41e-09, 0.00
29.950, 8.18e-09, 0.00
30.287, 5.97e-09, 0.00
30.712, 5.88e-09, 0.00
31.038, 8.28e-09, 0.00
31.367, 6.54e-09, 0.00
31.814, 6.36e-09, 0.00
32.238, 5.80e-09, 0.00
32.687, 5.92e-09, 0.00
33.032, 6.05e-09, 0.00
33.360, 8.20e-09, 0.00
33.763, 5.72e-09, 0.00
34.206, 5.51e-09, 0.00
34.557, 5.91e-09, 0.00
34.959, 8.22e-09, 0.00
35.287, 5.49e-09, 0.00
35.730, 5.75e-09, 0.00
36.075, 5.52e-09, 0.00
36.404, 8.23e-09, 0.00
36.807, 6.40e-09, 0.00
37.129, 8.18e-09, 0.00
37.458, 5.75e-09, 0.00
37.900, 5.88e-09, 0.00
38.331, 6.38e-09, 0.00
38.653, 8.12e-09, 0.00
38.996, 5.62e-09, 0.00
39.425, 5.51e-09, 0.00
39.862, 5.59e-09, 0.00
40.298, 5.47e-09, 0.00
40.644, 5.54e-09, 0.00
40.971, 8.24e-09, 0.00
41.381, 5.57e-09, 0.00
41.808, 5.52e-09, 0.00
42.234, 5.70e-09, 0.00
42.682, 5.52e-09, 0.00
43.107, 5.93e-09, 0.00
43.457, 5.59e-09, 0.00
43.781, 8.38e-09, 0.00
44.184, 5.35e-09, 0.00
44.633, 4.87e-09, 0.00
44.978, 5.51e-09, 0.00
45.307, 8.24e-09, 0.00
45.709, 5.59e-09, 0.00
46.134, 6.67e-09, 0.00
46.463, 6.65e-09, 0.00
46.786, 5.63e-09, 0.00
47.230, 5.61e-09, 0.00
47.659, 6.19e-09, 0.00
48.004, 6.56e-09, 0.00
48.333, 5.82e-09, 0.00
48.736, 5.51e-09, 0.00
49.160, 5.75e-09, 0.00
49.489, 8.23e-09, 0.00
49.813, 5.75e-09, 0.00
