time, power, status
3626.552, 1.40e-07, 0.00
3626.887, 1.24e-07, 0.00
3627.199, 1.40e-07, 0.00
3627.620, 1.29e-07, 0.00
3628.054, 1.18e-07, 0.00
3628.396, 1.07e-07, 0.00
3628.708, 1.41e-07, 0.00
3629.123, 1.27e-07, 0.00
3629.543, 1.03e-07, 0.00
3629.878, 1.63e-07, 0.00
3630.191, 1.42e-07, 0.00
3630.531, 1.69e-07, 0.00
3630.965, 1.32e-07, 0.00
3631.280, 1.04e-07, 0.00
3631.639, 1.03e-07, 0.00
3631.952, 1.39e-07, 0.00
3632.287, 1.02e-07, 0.00
3632.607, 1.40e-07, 0.00
3632.940, 1.01e-07, 0.00
3633.252, 1.50e-07, 0.00
3633.672, 1.09e-07, 0.00
3634.107, 1.23e-07, 0.00
3634.528, 1.02e-07, 0.00
3634.876, 1.43e-07, 0.00
3635.235, 1.39e-07, 0.00
3635.536, 1.11e-07, 0.00
3635.848, 1.41e-07, 0.00
3636.267, 1.25e-07, 0.00
3636.690, 1.09e-07, 0.00
3637.024, 1.40e-07, 0.00
3637.337, 1.17e-07, 0.00
3637.697, 1.02e-07, 0.00
3638.030, 1.41e-07, 0.00
3638.429, 1.13e-07, 0.00
3638.743, 1.39e-07, 0.00
3639.076, 1.03e-07, 0.00
3639.395, 1.39e-07, 0.00
3639.729, 1.02e-07, 0.00
3640.062, 1.20e-07, 0.00
3640.381, 1.08e-07, 0.00
3640.695, 1.39e-07, 0.00
3641.028, 1.03e-07, 0.00
3641.361, 1.40e-07, 0.00
3641.702, 1.41e-07, 0.00
3642.035, 1.09e-07, 0.00
3642.349, 1.40e-07, 0.00
3642.767, 1.02e-07, 0.00
3643.201, 1.10e-07, 0.00
3643.542, 1.34e-07, 0.00
3643.854, 1.40e-07, 0.00
3644.309, 1.07e-07, 0.00
3644.708, 1.29e-07, 0.00
3645.127, 1.07e-07, 0.00
3645.447, 1.41e-07, 0.00
3645.785, 1.28e-07, 0.00
3646.219, 1.14e-07, 0.00
3646.561, 1.10e-07, 0.00
3646.954, 1.40e-07, 0.00
3647.288, 1.30e-07, 0.00
3647.728, 1.09e-07, 0.00
3648.064, 1.29e-07, 0.00
3648.403, 1.40e-07, 0.00
3648.717, 1.29e-07, 0.00
3649.029, 1.41e-07, 0.00
3649.370, 1.08e-07, 0.00
3649.684, 1.59e-07, 0.00
3650.097, 2.11e-07, 0.00
3650.417, 1.43e-07, 0.00
3650.751, 1.44e-07, 0.00
3651.084, 1.04e-07, 0.00
3651.505, 1.05e-07, 0.00
3651.818, 1.46e-07, 0.00
3652.152, 1.02e-07, 0.00
3652.471, 1.62e-07, 0.00
3652.805, 1.03e-07, 0.00
3653.239, 0.00e+00, 1.00
3653.539, 1.27e-07, 0.00
3653.900, 1.43e-07, 0.00
3654.215, 1.66e-07, 0.00
3654.576, 1.32e-07, 0.00
3654.992, 1.03e-07, 0.00
3655.415, 1.23e-07, 0.00
3655.749, 1.39e-07, 0.00
3656.182, 1.39e-07, 0.00
3656.523, 1.39e-07, 0.00
3656.936, 1.02e-07, 0.00
3657.375, 1.25e-07, 0.00
3657.809, 1.27e-07, 0.00
3658.244, 1.06e-07, 0.00
3658.584, 1.20e-07, 0.00
3658.918, 1.40e-07, 0.00
3659.311, 1.07e-07, 0.00
3659.631, 1.39e-07, 0.00
3659.964, 1.03e-07, 0.00
3660.297, 1.40e-07, 0.00
3660.636, 1.40e-07, 0.00
3660.972, 1.03e-07, 0.00
3661.283, 1.40e-07, 0.00
3661.703, 1.20e-07, 0.00
3662.137, 1.04e-07, 0.00
3662.558, 1.02e-07, 0.00
3662.891, 1.40e-07, 0.00
3663.205, 1.14e-07, 0.00
3663.637, 1.03e-07, 0.00
3664.079, 1.23e-07, 0.00
3664.503, 1.04e-07, 0.00
3664.818, 1.40e-07, 0.00
3665.155, 1.27e-07, 0.00
3665.595, 1.03e-07, 0.00
3665.931, 1.21e-07, 0.00
3666.264, 1.40e-07, 0.00
3666.584, 1.02e-07, 0.00
3666.896, 1.41e-07, 0.00
3667.231, 1.06e-07, 0.00
3667.551, 1.40e-07, 0.00
3667.964, 1.26e-07, 0.00
3668.384, 1.04e-07, 0.00
3668.718, 1.24e-07, 0.00
3669.051, 1.03e-07, 0.00
3669.393, 1.11e-07, 0.00
3669.706, 1.39e-07, 0.00
3670.120, 1.15e-07, 0.00
3670.540, 1.04e-07, 0.00
3670.874, 1.03e-07, 0.00
3671.207, 1.25e-07, 0.00
3671.549, 1.31e-07, 0.00
3671.882, 1.03e-07, 0.00
3672.296, 1.43e-07, 0.00
3672.716, 1.02e-07, 0.00
