time, power, status
3615.067, 1.59e-08, 0.00
3615.407, 0.00e+00, 1.00
3615.639, 1.26e-08, 0.00
3615.975, 1.24e-08, 0.00
3616.310, 2.12e-08, 0.00
3616.712, 1.39e-08, 0.00
3617.048, 1.54e-08, 0.00
3617.384, 1.59e-08, 0.00
3617.706, 1.31e-08, 0.00
3618.022, 1.37e-08, 0.00
3618.358, 1.31e-08, 0.00
3618.680, 1.25e-08, 0.00
3619.016, 1.39e-08, 0.00
3619.452, 1.30e-08, 0.00
3619.894, 1.38e-08, 0.00
3620.233, 1.05e-08, 0.00
3620.547, 1.53e-08, 0.00
3620.969, 1.29e-08, 0.00
3621.405, 1.30e-08, 0.00
3621.749, 1.31e-08, 0.00
3622.084, 1.07e-08, 0.00
3622.480, 1.41e-08, 0.00
3622.802, 1.27e-08, 0.00
3623.150, 1.32e-08, 0.00
3623.573, 1.06e-08, 0.00
3623.919, 1.30e-08, 0.00
3624.236, 1.25e-08, 0.00
3624.642, 1.23e-08, 0.00
3624.962, 1.28e-08, 0.00
3625.299, 1.30e-08, 0.00
3625.722, 1.30e-08, 0.00
3626.039, 1.06e-08, 0.00
3626.374, 1.31e-08, 0.00
3626.798, 1.30e-08, 0.00
3627.134, 1.26e-08, 0.00
3627.470, 1.27e-08, 0.00
3627.893, 1.33e-08, 0.00
3628.311, 1.29e-08, 0.00
3628.633, 1.27e-08, 0.00
3628.970, 1.30e-08, 0.00
3629.407, 1.29e-08, 0.00
3629.751, 1.38e-08, 0.00
3630.065, 1.53e-08, 0.00
3630.483, 1.38e-08, 0.00
3630.906, 1.32e-08, 0.00
3631.242, 1.46e-08, 0.00
3631.559, 1.29e-08, 0.00
3632.002, 1.30e-08, 0.00
3632.439, 1.31e-08, 0.00
3632.783, 1.42e-08, 0.00
3633.191, 1.25e-08, 0.00
3633.534, 1.60e-08, 0.00
3633.938, 1.50e-08, 0.00
3634.378, 1.29e-08, 0.00
3634.805, 1.65e-08, 0.00
3635.140, 1.24e-08, 0.00
3635.476, 1.30e-08, 0.00
3635.918, 1.48e-08, 0.00
3636.355, 1.33e-08, 0.00
3636.777, 1.31e-08, 0.00
3637.094, 1.42e-08, 0.00
3637.430, 1.30e-08, 0.00
3637.752, 1.25e-08, 0.00
3638.087, 1.05e-08, 0.00
3638.505, 1.28e-08, 0.00
3638.947, 1.32e-08, 0.00
3639.384, 1.51e-08, 0.00
3639.727, 1.40e-08, 0.00
3640.063, 1.25e-08, 0.00
3640.459, 1.23e-08, 0.00
3640.782, 1.28e-08, 0.00
3641.117, 1.32e-08, 0.00
3641.554, 1.30e-08, 0.00
3641.897, 1.06e-08, 0.00
3642.233, 1.26e-08, 0.00
3642.634, 1.31e-08, 0.00
3643.064, 1.29e-08, 0.00
3643.388, 1.23e-08, 0.00
3643.732, 1.29e-08, 0.00
3644.131, 1.33e-08, 0.00
3644.449, 1.35e-08, 0.00
3644.794, 1.31e-08, 0.00
3645.133, 1.08e-08, 0.00
3645.469, 1.24e-08, 0.00
3645.871, 1.43e-08, 0.00
3646.207, 1.36e-08, 0.00
3646.524, 1.30e-08, 0.00
3646.966, 1.53e-08, 0.00
3647.404, 1.05e-08, 0.00
3647.827, 1.43e-08, 0.00
3648.245, 1.70e-08, 0.00
3648.649, 1.59e-08, 0.00
3648.966, 1.17e-08, 0.00
3649.302, 1.14e-08, 0.00
3649.745, 1.16e-08, 0.00
3650.102, 1.75e-08, 0.00
3650.438, 1.49e-08, 0.00
3650.760, 1.49e-08, 0.00
3651.157, 2.20e-08, 0.00
3651.474, 1.19e-08, 0.00
3651.815, 1.15e-08, 0.00
3652.151, 1.23e-08, 0.00
3652.487, 1.43e-08, 0.00
3652.905, 1.30e-08, 0.00
3653.267, 1.25e-08, 0.00
3653.591, 1.25e-08, 0.00
3654.009, 1.29e-08, 0.00
3654.430, 1.51e-08, 0.00
3654.752, 1.30e-08, 0.00
3655.088, 1.35e-08, 0.00
3655.524, 1.76e-08, 0.00
3655.967, 1.34e-08, 0.00
3656.403, 1.13e-08, 0.00
3656.747, 1.29e-08, 0.00
3657.061, 1.60e-08, 0.00
3657.399, 1.54e-08, 0.00
3657.721, 1.25e-08, 0.00
3658.136, 1.30e-08, 0.00
3658.573, 1.29e-08, 0.00
3658.916, 1.30e-08, 0.00
3659.251, 1.06e-08, 0.00
3659.653, 1.30e-08, 0.00
3660.089, 1.32e-08, 0.00
3660.526, 1.10e-08, 0.00
3660.869, 1.29e-08, 0.00
3661.206, 1.25e-08, 0.00
3661.607, 1.31e-08, 0.00
3662.044, 1.31e-08, 0.00
3662.480, 1.06e-08, 0.00
