time, power, status
-1885.958, 3.25e-09, 0.00
-1885.532, 3.22e-09, 0.00
-1885.084, 3.20e-09, 0.00
-1884.640, 3.21e-09, 0.00
-1884.211, 3.03e-09, 0.00
-1883.868, 2.57e-09, 0.00
-1883.526, 1.49e-09, 0.00
-1883.096, 1.42e-09, 0.00
-1882.754, 2.95e-09, 0.00
-1882.430, 3.21e-09, 0.00
-1882.062, 1.45e-09, 0.00
-1881.640, 2.61e-09, 0.00
-1881.276, 2.66e-09, 0.00
-1880.947, 3.27e-09, 0.00
-1880.526, 2.76e-09, 0.00
-1880.197, 3.21e-09, 0.00
-1879.874, 2.55e-09, 0.00
-1879.531, 1.74e-09, 0.00
-1879.203, 2.68e-09, 0.00
-1878.861, 3.34e-09, 0.00
-1878.417, 3.22e-09, 0.00
-1878.089, 3.22e-09, 0.00
-1877.747, 1.66e-09, 0.00
-1877.310, 1.59e-09, 0.00
-1876.854, 3.20e-09, 0.00
-1876.508, 2.64e-09, 0.00
-1876.097, 2.74e-09, 0.00
-1875.753, 3.14e-09, 0.00
-1875.306, 3.21e-09, 0.00
-1874.876, 3.34e-09, 0.00
-1874.451, 3.10e-09, 0.00
-1874.021, 3.14e-09, 0.00
-1873.679, 2.58e-09, 0.00
-1873.314, 2.71e-09, 0.00
-1872.986, 3.39e-09, 0.00
-1872.662, 2.73e-09, 0.00
-1872.259, 4.39e-09, 0.00
-1871.829, 3.34e-09, 0.00
-1871.486, 2.73e-09, 0.00
-1871.056, 2.62e-09, 0.00
-1870.714, 1.57e-09, 0.00
-1870.269, 1.41e-09, 0.00
-1869.919, 3.21e-09, 0.00
-1869.497, 2.66e-09, 0.00
-1869.168, 3.29e-09, 0.00
-1868.844, 2.61e-09, 0.00
-1868.502, 1.57e-09, 0.00
-1868.052, 1.51e-09, 0.00
-1867.608, 1.42e-09, 0.00
-1867.159, 1.49e-09, 0.00
-1866.804, 3.24e-09, 0.00
-1866.471, 1.43e-09, 0.00
-1866.062, 3.20e-09, 0.00
-1865.736, 2.52e-09, 0.00
-1865.393, 1.48e-09, 0.00
-1864.941, 1.42e-09, 0.00
-1864.497, 1.46e-09, 0.00
-1864.049, 1.57e-09, 0.00
-1863.704, 1.45e-09, 0.00
-1863.362, 2.78e-09, 0.00
-1862.953, 1.48e-09, 0.00
-1862.611, 1.98e-09, 0.00
-1862.268, 1.93e-09, 0.00
-1861.820, 1.45e-09, 0.00
-1861.376, 1.41e-09, 0.00
-1861.026, 1.46e-09, 0.00
-1860.703, 2.14e-09, 0.00
-1860.281, 1.47e-09, 0.00
-1859.832, 1.35e-09, 0.00
-1859.388, 1.45e-09, 0.00
-1858.959, 1.45e-09, 0.00
-1858.516, 1.46e-09, 0.00
-1858.066, 1.41e-09, 0.00
-1857.722, 1.41e-09, 0.00
-1857.380, 2.66e-09, 0.00
-1856.972, 1.37e-09, 0.00
-1856.614, 2.12e-09, 0.00
-1856.199, 2.09e-09, 0.00
-1855.875, 3.98e-09, 0.00
-1855.447, 4.52e-09, 0.00
-1855.118, 4.53e-09, 0.00
-1854.769, 2.50e-09, 0.00
-1854.366, 1.70e-09, 0.00
-1854.016, 3.86e-09, 0.00
-1853.693, 2.53e-09, 0.00
-1853.271, 3.18e-09, 0.00
-1852.841, 3.13e-09, 0.00
-1852.397, 3.19e-09, 0.00
-1851.967, 3.14e-09, 0.00
-1851.624, 1.38e-09, 0.00
-1851.194, 2.52e-09, 0.00
-1850.852, 1.36e-09, 0.00
-1850.427, 1.32e-09, 0.00
-1849.998, 1.42e-09, 0.00
-1849.652, 3.83e-09, 0.00
-1849.310, 2.57e-09, 0.00
-1848.901, 3.29e-09, 0.00
-1848.559, 2.58e-09, 0.00
-1848.128, 2.56e-09, 0.00
-1847.786, 1.46e-09, 0.00
-1847.422, 3.18e-09, 0.00
-1847.093, 2.59e-09, 0.00
-1846.671, 3.26e-09, 0.00
